,tfidf
the,17.773982285145575
is,15.354232648203565
it,14.258118665030283
a,14.01238807468582
just,13.599946115360888
was,13.161677477588025
this,12.50018336676469
not,12.287105141378015
i,11.794896108491672
of,11.231049900248582
and,10.841354232612256
to,9.958985803535436
very,9.882103930101042
that,9.01815190762314
movie,8.694138744550186
in,8.377213632034827
bad,8.303006936995626
at,7.697577527117898
film,7.547487833740589
even,7.112377321377612
no,6.961621700636023
all,6.7466633294383636
for,6.42280576920668
are,6.2797825262387015
as,6.181016360292362
there,6.075915718478691
so,5.891562695399928
plot,5.740146808445283
you,5.64161627608061
too,5.580114909382918
really,5.495773705046322
your,5.363213420900865
but,5.214668224352536
exceptionally,5.198497031265826
hated,5.161726686477482
with,5.028938303152682
highly,5.010206671987544
about,4.896960415099684
on,4.820257339082173
or,4.772837717967429
were,4.7708053894704445
nothing,4.703070773795266
how,4.611468697577005
everything,4.517630803882271
one,4.397220000778125
be,4.205925022402369
acting,4.077164041838618
waste,4.0487744709429485
an,3.9114485456518264
only,3.7972570059622495
watching,3.755313684949448
than,3.728909912216419
like,3.7004720866645737
have,3.5860202259573275
story,3.51660994341306
from,3.4619875387655523
look,3.3170516497977713
avoid,3.3039232238509793
if,3.250507550265506
time,3.2226217214609476
out,3.1904056296019605
worse,3.1329959381441093
worst,3.0354452680418236
ever,2.983174556632445
because,2.9685812237613654
my,2.914838554209662
he,2.8550553983543865
little,2.850099632250669
has,2.8307665137117684
could,2.830468408662857
movies,2.8236113588223337
directing,2.7333823326636444
what,2.70711941235139
real,2.7062231415630413
most,2.7059332293683065
two,2.6945872312834216
new,2.632383139670552
wasted,2.631647442159923
any,2.6311772111041023
make,2.6038530741193124
omit,2.599248515632913
politically,2.599248515632913
good,2.561202870994444
can,2.4938902885680996
would,2.4716941030627604
see,2.457152564937377
script,2.4356548322801617
much,2.4107731024116394
who,2.3811128972161777
his,2.375405416703827
them,2.341857208244097
by,2.31559818906088
line,2.3101145639663043
never,2.2989036762350215
bit,2.289857921004984
pretty,2.2458356645092605
totally,2.236722422730683
get,2.226674878683883
scenes,2.1721068860875814
